name,playcount,listeners,mbid,url,streamable,tags
Laura Marling,36735516,1265131,cd9713d6-6e5f-4143-9412-4d12b7bd47f2,https://www.last.fm/music/Laura+Marling,0,"folk, female vocalists, singer-songwriter"
Tricky,34346829,1264762,5bf64d94-efd9-4334-96fd-e6197b0b02b8,https://www.last.fm/music/Tricky,0,"trip-hop, electronic, downtempo"
The Stooges,22121522,1264306,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,https://www.last.fm/music/The+Stooges,0,"punk, proto-punk, Garage Rock"
Broken Bells,29411387,1261577,62d364d2-550b-420e-b918-b3bd1e4a2efc,https://www.last.fm/music/Broken+Bells,0,"indie, experimental, indie pop"
Franz Schubert,14805209,1256249,f91e3a88-24ee-4563-8963-fab73d2765ed,https://www.last.fm/music/Franz+Schubert,0,"Classical, romantic, piano"
Neil Diamond,14625004,1253643,a42d3fd5-55de-4206-86c3-4fbb5404018f,https://www.last.fm/music/Neil+Diamond,0,"singer-songwriter, classic rock, pop"
NOFX,68736783,1248626,dcaa4f81-bfb7-44eb-8594-4e74f004b6e4,https://www.last.fm/music/NOFX,0,"punk, punk rock, seen live"
James Taylor,19020779,1238525,c5a69f1d-f4fc-42b1-9e99-5b3cd35406fa,https://www.last.fm/music/James+Taylor,0,"folk, singer-songwriter, acoustic"
Curren$y,20663249,1237376,4ce1c576-305a-4b82-82fa-5e5359056219,https://www.last.fm/music/Curren$y,0,"Hip-Hop, rap, Dirty South"
Blind Melon,16882546,1234413,38c5cdab-5d6d-43d1-85b0-dac41bde186e,https://www.last.fm/music/Blind+Melon,0,"Grunge, rock, alternative rock"
Devendra Banhart,51367550,1233750,0110e63e-0a9b-4818-af8e-41e180c20b9a,https://www.last.fm/music/Devendra+Banhart,0,"folk, singer-songwriter, indie"
Stars,42212934,1233079,a9e6f9a1-575f-4e03-9488-b9e022c6d3b3,https://www.last.fm/music/Stars,0,"indie, indie pop, Canadian"
Dropkick Murphys,51265652,1231270,e8374874-4178-4869-b92e-fef6bf30dc04,https://www.last.fm/music/Dropkick+Murphys,0,"punk, punk rock, seen live"
Jane's Addiction,16481309,1228863,e3434cc7-d348-491a-9dc8-325af3d9086d,https://www.last.fm/music/Jane%27s+Addiction,0,"alternative rock, rock, alternative"
Diana Krall,22566142,1228712,67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98,https://www.last.fm/music/Diana+Krall,0,"jazz, female vocalists, vocal jazz"
Manic Street Preachers,43740256,1227611,32efea44-6cb5-4b4f-bdaa-c8b8f6cef981,https://www.last.fm/music/Manic+Street+Preachers,0,"rock, britpop, seen live"
Primal Scream,21625734,1224506,55704c38-224f-4b75-b29f-d43653f8bc9a,https://www.last.fm/music/Primal+Scream,0,"rock, indie, electronic"
Barenaked Ladies,24168734,1223420,86e736b4-93e2-40ff-9e1c-fb7c63fef5f6,https://www.last.fm/music/Barenaked+Ladies,0,"rock, alternative, Canadian"
Caribou,39953426,1220143,735e3514-a8ae-401f-af3b-6300df1b8d2c,https://www.last.fm/music/Caribou,0,"electronic, seen live, experimental"
Peggy Lee,9741982,1216789,5a2463af-eef0-4a22-bc8f-5865fbe9c78e,https://www.last.fm/music/Peggy+Lee,0,"jazz, female vocalists, swing"
Moloko,21734113,1216571,2f94016a-3880-4d8c-9af9-0e197ee77189,https://www.last.fm/music/Moloko,0,"electronic, trip-hop, female vocalists"
